Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
909,MC_SC_17_s01R_353,19,3,2,False,False,False,True,False,1,50,19,0,6,0,2,1,1,5,0,0,2,1762.0
913,MC_SC_17_s01R_354,19,4,2,False,False,False,True,False,0,20,30,0,3,0,11,2,7,0,2,3,1,971.0
915,MC_SC_17_s01R_355,19,6,2,False,False,True,False,False,0,18,20,12,28,8,4,0,0,4,3,1,6,1098.0
919,MC_SC_17_s01R_356,20,6,3,False,False,True,False,False,69,21,11,7,33,1,11,5,6,2,3,2,6,1764.0
920,MC_SC_17_s01R_357,20,8,6,False,False,False,True,False,0,12,25,1,19,2,0,2,1,1,1,0,6,2966.0
921,MC_SC_17_s01R_358,20,6,5,False,False,True,False,False,72,23,21,3,42,0,1,0,2,0,0,2,2,2091.0
922,MC_SC_17_s01R_359,20,7,5,False,False,False,True,False,2,16,13,2,26,0,1,1,1,5,11,0,2,3602.0
924,MC_SC_17_s01R_360,20,7,6,False,False,False,True,False,0,2,21,0,14,0,0,1,0,16,8,1,3,2278.0
925,MC_SC_17_s01R_361,20,3,2,False,False,False,True,False,0,6,16,0,1,0,0,0,1,0,0,0,2,820.0
926,MC_SC_17_s01R_362,20,3,3,False,False,False,True,False,1,16,5,1,10,1,3,1,3,1,1,0,1,1159.0
927,MC_SC_17_s01R_363,20,4,3,False,False,False,True,False,0,41,11,1,121,0,1,6,3,1,5,1,3,3673.0
929,MC_SC_17_s01R_364,20,5,4,False,False,True,False,False,72,16,16,4,38,3,11,9,2,16,6,1,10,2173.0
930,MC_SC_17_s01R_365,20,5,3,False,False,False,True,False,4,29,30,0,6,2,3,2,3,1,1,0,4,2641.0
931,MC_SC_17_s01R_366,20,2,2,False,False,True,False,False,43,22,16,0,10,0,3,1,2,2,3,3,6,773.0
934,MC_SC_17_s01R_367,20,6,3,False,False,False,True,False,1,40,21,4,70,1,0,1,3,27,5,2,0,3177.0
935,MC_SC_17_s01R_368,20,5,2,False,False,True,False,False,9,38,3,0,9,0,0,1,1,0,0,0,7,1677.0
937,MC_SC_17_s01R_369,20,4,2,False,False,True,False,False,34,31,2,0,19,0,5,0,0,1,3,0,4,776.0
938,MC_SC_17_s01R_370,20,5,3,False,False,True,False,False,0,17,3,0,68,1,0,3,4,0,4,0,3,2121.0
939,MC_SC_17_s01R_371,20,6,3,False,False,True,False,False,1,28,8,0,6,0,1,0,0,0,2,0,6,2153.0
940,MC_SC_17_s01R_372,20,5,4,False,False,True,False,False,0,24,22,1,4,1,0,0,3,0,0,0,8,3415.0
942,MC_SC_17_s01R_373,20,8,3,False,False,True,False,False,0,15,11,0,13,0,5,1,2,7,3,0,4,1506.0
946,MC_SC_17_s01R_374,20,5,3,False,False,True,False,False,3,5,0,15,4,4,6,0,4,8,4,2,7,1764.0
952,MC_SC_17_s01R_375,20,3,2,False,False,False,True,False,2,5,13,0,22,0,5,6,0,1,4,5,1,1055.0
955,MC_SC_17_s01R_376,20,3,2,False,False,True,False,False,59,21,14,16,9,3,1,0,0,0,2,0,0,857.0
959,MC_SC_17_s01R_377,20,5,4,False,False,False,True,False,0,25,46,14,12,0,1,3,1,1,1,1,0,1742.0
960,MC_SC_17_s01R_378,20,3,2,False,False,False,True,False,0,15,28,12,14,0,1,1,0,1,0,1,3,868.0
961,MC_SC_17_s01R_379,20,7,5,False,False,True,False,False,0,20,32,36,119,1,34,3,2,47,16,3,1,2759.0
962,MC_SC_17_s01R_380,21,5,3,False,False,False,True,False,0,0,10,0,1,0,0,0,0,0,0,2,0,1118.0
963,MC_SC_17_s01R_381,21,4,3,False,False,False,True,False,1,2,10,6,28,0,0,0,0,0,1,0,0,1306.0
967,MC_SC_17_s01R_382,21,1,1,False,False,True,False,False,60,22,16,0,11,0,1,0,0,0,0,1,4,1461.0
968,MC_SC_17_s01R_383,21,4,3,False,False,False,True,False,2,6,12,0,0,0,2,2,1,0,1,0,3,700.0
970,MC_SC_17_s01R_384,21,7,5,False,False,False,True,False,9,28,21,0,79,1,2,4,2,17,7,4,1,3219.0
973,MC_SC_17_s01R_385,21,7,3,False,False,False,True,False,1,8,13,0,44,2,1,4,0,18,8,1,0,3257.0
975,MC_SC_17_s01R_386,21,4,2,False,False,False,True,False,3,36,4,0,8,2,0,5,4,11,8,4,0,2081.0
976,MC_SC_17_s01R_387,21,8,4,False,False,True,False,False,56,8,8,3,79,3,2,2,0,7,5,2,4,2203.0
980,MC_SC_17_s01R_388,21,5,4,False,False,True,False,False,47,18,4,0,30,0,0,4,0,7,3,3,1,1273.0
985,MC_SC_17_s01R_389,21,7,4,False,False,False,True,False,0,38,26,0,5,0,0,0,1,0,2,0,2,2293.0
986,MC_SC_17_s01R_390,21,4,2,False,False,True,False,False,0,39,6,0,2,1,1,0,2,0,0,0,3,1672.0
987,MC_SC_17_s01R_391,21,4,3,False,False,True,False,False,0,15,3,0,4,0,0,0,1,0,2,0,3,1451.0
990,MC_SC_17_s01R_392,21,4,3,False,False,False,True,False,3,57,21,0,10,0,2,1,4,17,8,0,16,3412.0
998,MC_SC_17_s01R_393,21,8,5,False,False,False,True,False,0,83,37,0,21,1,32,4,8,108,11,1,6,4462.0
1000,MC_SC_17_s01R_394,21,4,3,False,False,True,False,False,44,17,12,0,6,0,5,1,0,7,2,1,5,958.0
1002,MC_SC_17_s01R_395,21,7,4,False,False,False,True,False,0,10,16,0,2,0,9,5,1,20,6,1,3,1022.0
1003,MC_SC_17_s01R_396,21,5,3,False,False,True,False,False,22,14,20,0,16,1,5,1,0,5,6,0,5,1288.0
1012,MC_SC_17_s01R_397,21,6,4,False,False,False,True,False,1,40,12,0,120,9,1,3,5,10,5,2,1,2403.0
1015,MC_SC_17_s01R_398,21,6,4,False,False,True,False,False,51,13,7,0,10,0,0,4,6,0,0,2,2,1423.0
1016,MC_SC_17_s01R_399,21,5,4,False,False,True,False,False,1,8,26,4,4,4,7,1,1,2,4,4,7,1632.0
1020,MC_SC_17_s01R_400,21,2,1,False,False,False,True,False,0,5,5,0,1,0,7,2,2,0,1,0,7,429.0
1023,MC_SC_17_s01R_401,22,6,4,False,False,True,False,False,1,21,18,3,75,0,11,5,5,3,3,4,1,2985.0
1025,MC_SC_17_s01R_402,22,4,3,False,False,False,True,False,0,17,8,0,8,1,6,3,0,2,5,0,4,1486.0
1026,MC_SC_17_s01R_403,22,4,2,False,False,True,False,False,101,13,7,9,27,3,11,0,1,21,1,2,5,1765.0
1027,MC_SC_17_s01R_404,22,9,8,False,False,False,True,False,0,11,18,0,18,1,4,0,2,1,9,0,4,2590.0
1028,MC_SC_17_s01R_405,22,3,2,False,False,False,True,False,1,14,25,0,3,0,2,2,2,0,2,0,11,2184.0
1029,MC_SC_17_s01R_406,22,6,3,True,False,False,True,False,0,9,24,0,1,0,0,0,3,5,6,1,0,2254.0
1030,MC_SC_17_s01R_407,22,4,3,False,False,False,True,False,1,40,23,0,17,3,4,2,1,30,7,2,6,2900.0
1033,MC_SC_17_s01R_408,22,6,4,False,False,True,False,False,0,26,40,5,59,3,0,1,4,0,9,0,2,2248.0
1034,MC_SC_17_s01R_409,22,6,3,False,False,True,False,False,0,37,29,11,48,1,6,3,5,1,7,0,2,1965.0
1035,MC_SC_17_s01R_410,22,4,2,False,False,True,False,False,0,16,10,13,35,4,3,0,2,5,5,3,0,1666.0
1037,MC_SC_17_s01R_411,22,3,2,False,False,True,False,False,17,6,1,11,4,6,0,3,3,1,2,1,3,1631.0
1040,MC_SC_17_s01R_412,22,4,2,False,False,False,True,False,2,7,2,0,1,0,0,0,0,3,2,2,1,1608.0
1042,MC_SC_17_s01R_413,22,7,3,False,False,True,False,False,98,32,19,17,21,1,0,2,0,40,6,4,4,3031.0
