Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
73,MC_SC_17_s03L_49,5,4,2,False,False,True,False,False,4,3,1,0,0,0,4,1,0,0,1,0,0,1278.0
74,MC_SC_17_s03L_50,5,3,2,False,False,True,False,False,3,0,9,0,12,5,0,4,2,16,2,0,1,2451.0
75,MC_SC_17_s03L_51,5,4,2,False,False,True,False,False,52,2,0,0,17,0,3,5,1,16,0,0,3,1289.0
81,MC_SC_17_s03L_52,5,5,3,False,False,True,False,False,1,1,2,0,7,0,11,1,2,4,2,1,0,1917.0
82,MC_SC_17_s03L_53,5,6,4,False,False,True,False,False,1,16,3,0,5,0,5,0,0,18,1,0,0,840.0
84,MC_SC_17_s03L_54,5,3,3,False,False,True,False,False,1,1,7,0,1,0,0,0,0,11,0,0,0,2016.0
85,MC_SC_17_s03L_55,5,3,2,False,False,True,False,False,0,1,0,0,6,0,0,3,2,0,0,1,2,1637.0
87,MC_SC_17_s03L_56,5,4,3,False,False,True,False,False,37,4,1,0,8,0,7,0,0,5,0,0,1,1348.0
88,MC_SC_17_s03L_57,5,4,3,False,False,True,False,False,2,1,6,0,4,0,12,0,3,23,3,0,0,1489.0
89,MC_SC_17_s03L_58,5,4,2,False,False,True,False,False,24,3,4,0,5,0,0,1,0,6,3,0,0,1141.0
97,MC_SC_17_s03L_59,5,4,2,False,False,False,True,False,2,5,1,0,0,0,0,0,0,5,1,0,0,2276.0
100,MC_SC_17_s03L_60,5,3,2,False,False,True,False,False,1,3,2,0,9,0,0,0,1,5,0,0,0,2395.0
102,MC_SC_17_s03L_61,5,7,5,False,False,True,False,False,4,52,15,0,99,0,0,2,1,5,1,0,0,3149.0
103,MC_SC_17_s03L_62,5,3,2,False,False,False,True,False,2,5,1,0,0,0,0,0,0,1,0,0,0,1191.0
104,MC_SC_17_s03L_63,5,3,3,False,False,True,False,False,0,0,1,0,5,0,0,0,1,15,1,0,0,1671.0
106,MC_SC_17_s03L_64,5,6,3,False,False,True,False,False,1,9,10,0,22,0,5,0,1,15,0,1,0,1780.0
107,MC_SC_17_s03L_65,5,4,3,False,False,True,False,False,1,1,5,1,13,0,0,0,1,1,0,0,0,1454.0
108,MC_SC_17_s03L_66,5,2,2,False,False,False,True,False,0,1,0,0,0,0,0,0,1,6,0,0,0,1107.0
109,MC_SC_17_s03L_67,5,9,6,True,False,True,False,False,1,13,24,7,24,1,1,0,4,15,4,0,0,3490.0
110,MC_SC_17_s03L_68,5,5,3,False,False,True,False,False,0,3,11,1,69,0,8,1,6,0,1,0,0,1850.0
111,MC_SC_17_s03L_69,5,2,1,False,False,True,False,False,10,0,1,0,5,0,0,0,0,2,0,0,0,771.0
112,MC_SC_17_s03L_70,5,3,2,False,False,False,True,False,1,0,2,0,2,1,0,0,0,0,0,0,0,1318.0
114,MC_SC_17_s03L_71,5,4,3,False,False,True,False,False,0,0,5,0,28,2,3,5,4,23,1,0,1,1593.0
115,MC_SC_17_s03L_72,5,4,3,False,False,True,False,False,50,4,7,0,28,0,9,0,0,13,2,3,1,1636.0
117,MC_SC_17_s03L_73,5,4,3,False,False,True,False,False,1,1,0,0,0,0,2,0,2,1,0,0,1,1275.0
119,MC_SC_17_s03L_74,5,4,2,False,False,False,True,False,0,0,5,0,6,1,8,2,2,6,3,0,1,2478.0
121,MC_SC_17_s03L_75,5,3,2,False,False,False,True,False,2,0,2,0,3,0,0,0,0,1,0,0,0,1304.0
123,MC_SC_17_s03L_76,5,5,3,False,False,True,False,False,48,2,7,8,46,1,13,1,0,13,1,2,5,1761.0
126,MC_SC_17_s03L_77,5,4,3,False,False,False,True,False,4,0,18,0,10,1,7,0,0,15,0,1,3,1637.0
127,MC_SC_17_s03L_78,5,3,3,False,False,False,True,False,1,4,2,0,5,0,3,0,1,3,0,0,1,1152.0
130,MC_SC_17_s03L_79,5,8,5,False,False,False,False,True,3,0,2,0,1,0,6,0,0,40,2,3,0,3119.0
132,MC_SC_17_s03L_80,5,4,3,False,False,True,False,False,0,4,0,0,10,0,1,0,1,0,4,0,2,1096.0
133,MC_SC_17_s03L_81,5,6,6,False,False,False,True,False,1,17,22,0,5,0,18,1,8,29,0,1,3,1373.0
135,MC_SC_17_s03L_82,5,4,2,False,False,False,True,False,2,2,2,0,2,0,7,6,3,5,1,1,3,1369.0
137,MC_SC_17_s03L_83,5,3,2,False,False,False,True,False,1,11,2,7,3,2,7,1,0,4,0,3,2,1687.0
138,MC_SC_17_s03L_84,5,3,3,False,False,False,True,False,1,8,2,0,3,0,6,0,0,1,0,0,1,1696.0
140,MC_SC_17_s03L_85,5,3,2,False,False,True,False,False,18,2,4,0,4,0,0,0,1,3,1,0,0,1039.0
141,MC_SC_17_s03L_86,5,4,3,False,False,True,False,False,0,3,13,0,2,0,1,1,2,0,0,3,0,692.0
142,MC_SC_17_s03L_87,5,4,3,False,False,True,False,False,41,3,11,3,3,0,0,0,0,24,0,1,3,1253.0
143,MC_SC_17_s03L_88,5,4,2,False,False,True,False,False,15,1,5,0,9,0,0,0,0,0,0,0,0,1155.0
146,MC_SC_17_s03L_89,5,5,3,False,False,True,False,False,75,7,11,5,24,0,0,0,1,18,8,2,2,1548.0
147,MC_SC_17_s03L_90,5,2,2,False,True,False,True,False,0,2,0,0,0,0,1,0,0,0,0,0,0,442.0
148,MC_SC_17_s03L_91,5,7,5,False,False,False,False,True,25,5,17,0,24,0,2,0,1,32,0,1,1,1910.0
149,MC_SC_17_s03L_92,5,4,3,False,False,False,False,True,0,1,1,0,0,0,5,0,0,15,0,1,0,2800.0
150,MC_SC_17_s03L_93,5,5,4,False,False,False,True,False,1,3,0,0,1,0,11,2,0,3,0,6,0,1553.0
155,MC_SC_17_s03L_94,5,5,3,False,False,False,False,True,29,4,2,0,23,2,0,0,4,20,1,6,2,2969.0
158,MC_SC_17_s03L_95,6,3,2,False,False,False,True,False,0,2,10,0,0,0,4,0,0,0,2,3,3,1179.0
160,MC_SC_17_s03L_96,6,3,2,False,False,False,False,True,105,2,1,0,28,3,30,0,2,11,1,22,3,2805.0
161,MC_SC_17_s03L_97,6,3,2,False,False,False,True,False,0,0,0,0,0,0,1,0,0,3,1,1,0,1073.0
163,MC_SC_17_s03L_98,6,1,1,False,False,False,True,False,1,3,9,0,0,0,4,0,0,0,0,0,0,648.0
166,MC_SC_17_s03L_99,6,5,2,False,False,True,False,False,10,0,19,0,2,0,0,0,0,16,2,0,3,2693.0
168,MC_SC_17_s03L_100,6,4,2,False,False,True,False,False,0,1,11,0,28,0,0,1,4,34,2,0,0,2268.0
170,MC_SC_17_s03L_101,6,4,4,False,False,True,False,False,54,1,14,2,84,0,9,0,2,18,4,2,3,1719.0
171,MC_SC_17_s03L_102,6,5,3,False,False,True,False,False,1,4,11,5,44,0,2,1,0,36,1,4,1,1758.0
172,MC_SC_17_s03L_103,6,5,4,False,False,True,False,False,1,1,4,0,21,0,1,0,2,27,0,0,1,2164.0
175,MC_SC_17_s03L_104,6,4,3,False,False,True,False,False,0,5,2,3,31,0,0,2,2,37,6,0,2,1602.0
176,MC_SC_17_s03L_105,6,6,5,False,False,True,False,False,25,16,9,0,19,0,4,3,1,47,4,1,0,1552.0
177,MC_SC_17_s03L_106,6,4,2,False,False,True,False,False,0,6,19,0,46,1,14,1,1,35,5,0,0,2575.0
178,MC_SC_17_s03L_107,6,5,2,False,False,False,False,False,16,3,3,0,15,0,0,2,0,13,2,1,0,431.0
180,MC_SC_17_s03L_108,6,4,2,False,False,True,False,False,4,18,12,0,21,0,7,0,2,29,0,2,0,2692.0
181,MC_SC_17_s03L_109,6,3,2,False,False,True,False,False,26,1,4,0,6,0,16,1,2,2,3,2,5,987.0
182,MC_SC_17_s03L_110,6,5,3,False,False,False,True,False,0,2,7,0,17,0,0,0,0,14,0,0,3,2172.0
184,MC_SC_17_s03L_111,6,5,4,False,False,True,False,False,49,4,8,0,56,0,18,1,1,35,2,6,5,1302.0
187,MC_SC_17_s03L_112,6,1,1,False,False,False,True,False,1,3,0,0,0,0,0,0,0,2,0,0,0,781.0
189,MC_SC_17_s03L_113,6,2,1,False,False,True,False,False,1,0,0,0,2,0,0,0,0,2,0,0,0,361.0
190,MC_SC_17_s03L_114,6,5,4,False,False,False,True,False,3,19,14,1,0,7,0,0,0,46,3,0,0,3029.0
191,MC_SC_17_s03L_115,6,4,3,False,False,True,False,False,0,3,1,2,1,1,0,0,0,0,1,0,0,1346.0
192,MC_SC_17_s03L_116,6,3,2,False,False,False,True,False,1,1,0,0,2,0,13,0,1,0,1,0,1,1413.0
194,MC_SC_17_s03L_117,6,3,2,False,False,True,False,False,44,0,8,0,9,0,17,0,2,5,0,4,1,1298.0
195,MC_SC_17_s03L_118,6,5,4,False,False,False,True,False,2,5,5,10,22,0,7,1,5,15,1,2,2,1037.0
197,MC_SC_17_s03L_119,6,4,3,False,False,False,True,False,0,1,1,0,0,1,15,3,0,8,2,2,1,1376.0
198,MC_SC_17_s03L_120,6,4,4,False,False,True,False,False,46,5,6,3,36,0,2,6,1,10,0,7,0,1038.0
200,MC_SC_17_s03L_121,6,5,2,False,False,True,False,False,22,1,12,0,14,0,7,1,0,16,0,3,3,897.0
201,MC_SC_17_s03L_122,6,2,1,False,False,True,False,False,29,2,4,0,7,0,0,3,0,9,1,1,1,1769.0
202,MC_SC_17_s03L_123,6,4,3,False,False,True,False,False,0,5,5,3,28,1,10,2,0,31,1,0,1,893.0
205,MC_SC_17_s03L_124,6,1,1,False,True,True,False,False,1,5,0,0,0,0,2,0,1,2,0,1,0,323.0
206,MC_SC_17_s03L_125,6,4,2,False,False,True,False,False,0,1,14,0,9,0,9,1,1,34,2,1,0,1185.0
207,MC_SC_17_s03L_126,6,3,3,False,False,True,False,False,17,0,0,0,4,0,4,1,0,15,0,1,1,1044.0
209,MC_SC_17_s03L_127,6,7,5,False,False,True,False,False,77,15,14,6,74,0,0,6,1,113,2,3,5,3062.0
210,MC_SC_17_s03L_128,6,5,3,False,False,False,True,False,0,1,14,0,1,0,2,0,0,37,0,2,0,1845.0
211,MC_SC_17_s03L_129,6,4,2,False,False,False,True,False,4,0,1,0,1,0,1,0,1,0,3,4,0,1395.0
213,MC_SC_17_s03L_130,6,3,2,False,False,True,False,False,8,1,7,1,45,0,2,0,0,6,5,0,0,1819.0
219,MC_SC_17_s03L_131,6,4,3,False,False,False,True,False,2,11,4,6,4,1,12,0,0,9,3,1,8,1585.0
220,MC_SC_17_s03L_132,6,3,2,False,False,False,True,False,0,0,3,0,1,0,2,0,2,9,1,1,0,1525.0
221,MC_SC_17_s03L_133,6,4,3,False,False,True,False,False,64,5,10,8,6,0,0,2,0,14,1,0,1,1236.0
222,MC_SC_17_s03L_134,6,2,1,False,False,False,True,False,1,0,1,0,3,0,0,0,0,0,1,0,1,2358.0
223,MC_SC_17_s03L_135,6,4,3,False,True,True,False,False,67,5,27,2,9,0,2,4,0,20,3,1,0,2043.0
224,MC_SC_17_s03L_136,6,9,6,False,False,True,False,False,54,25,10,6,29,0,0,1,0,15,6,1,6,2199.0
225,MC_SC_17_s03L_137,6,4,2,False,False,True,False,False,0,5,4,0,15,0,6,0,8,9,3,0,2,2101.0
226,MC_SC_17_s03L_138,6,3,2,False,False,False,True,False,0,0,5,0,0,0,13,1,4,3,0,2,2,758.0
229,MC_SC_17_s03L_139,6,3,2,False,False,False,True,False,0,0,23,0,1,2,30,1,2,3,1,3,2,859.0
230,MC_SC_17_s03L_140,6,6,4,False,False,False,False,True,52,13,7,1,4,0,17,0,0,73,3,5,0,4160.0
231,MC_SC_17_s03L_141,6,7,4,False,False,False,True,False,2,17,33,21,92,4,10,1,0,11,0,11,0,2141.0
