Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
82,MC_SC_17_s03L_53,5,6,4,False,False,True,False,False,1,74,11,0,5,0,18,9,39,30,17,10,0
84,MC_SC_17_s03L_54,5,3,3,False,False,True,False,False,2,16,33,2,0,0,2,1,9,6,7,0,17
85,MC_SC_17_s03L_55,5,3,2,False,False,True,False,False,0,8,6,2,9,1,0,23,21,0,12,22,26
87,MC_SC_17_s03L_56,5,4,3,False,False,True,False,False,75,24,8,4,8,2,35,6,0,2,5,0,37
88,MC_SC_17_s03L_57,5,4,3,False,False,True,False,False,7,28,31,1,3,1,57,7,33,30,25,5,4
89,MC_SC_17_s03L_58,5,4,2,False,False,True,False,False,55,41,32,13,9,2,9,14,16,8,24,11,4
97,MC_SC_17_s03L_59,5,4,2,False,False,False,True,False,4,51,12,2,0,26,6,2,17,8,8,0,1
100,MC_SC_17_s03L_60,5,3,2,False,False,True,False,False,1,23,12,4,12,2,0,5,16,8,3,0,0
102,MC_SC_17_s03L_61,5,7,5,False,False,True,False,False,6,209,39,2,168,11,2,19,120,8,34,9,4
103,MC_SC_17_s03L_62,5,3,2,False,False,False,True,False,2,31,9,1,0,2,4,0,12,2,1,0,0
104,MC_SC_17_s03L_63,5,3,3,False,False,True,False,False,2,9,10,11,4,1,2,4,31,23,8,3,3
106,MC_SC_17_s03L_64,5,6,3,False,False,True,False,False,1,99,49,0,33,10,20,8,38,26,13,10,4
107,MC_SC_17_s03L_65,5,4,3,False,False,True,False,False,2,37,27,15,14,2,1,2,24,0,12,2,0
108,MC_SC_17_s03L_66,5,2,2,False,False,False,True,False,0,26,1,0,0,8,7,4,20,7,2,0,1
109,MC_SC_17_s03L_67,5,9,6,True,False,True,False,False,2,65,67,61,37,22,9,22,70,40,44,6,29
110,MC_SC_17_s03L_68,5,5,3,False,False,True,False,False,0,71,31,18,86,15,46,13,65,0,22,3,4
111,MC_SC_17_s03L_69,5,2,1,False,False,True,False,False,14,5,3,0,3,1,2,5,1,0,1,8,8
112,MC_SC_17_s03L_70,5,3,2,False,False,False,True,False,0,7,12,5,3,8,0,0,3,0,1,0,1
114,MC_SC_17_s03L_71,5,4,3,False,False,True,False,False,0,16,18,9,49,15,15,28,49,38,9,1,6
115,MC_SC_17_s03L_72,5,4,3,False,False,True,False,False,110,48,21,1,50,6,60,7,0,22,19,28,24
117,MC_SC_17_s03L_73,5,4,3,False,False,True,False,False,3,24,4,0,0,6,5,2,24,0,5,6,31
119,MC_SC_17_s03L_74,5,4,2,False,False,False,True,False,0,5,22,0,6,10,44,12,34,14,25,6,32
121,MC_SC_17_s03L_75,5,3,2,False,False,False,True,False,3,5,13,2,4,0,2,5,0,0,0,4,8
123,MC_SC_17_s03L_76,5,5,3,False,False,True,False,False,101,24,29,79,94,11,66,19,5,19,18,47,57
126,MC_SC_17_s03L_77,5,4,3,False,False,False,True,False,10,20,65,5,15,18,39,5,4,21,2,28,47
127,MC_SC_17_s03L_78,5,3,3,False,False,False,True,False,2,45,8,32,12,10,28,9,21,3,4,20,21
130,MC_SC_17_s03L_79,5,8,5,False,False,False,False,True,5,9,5,0,1,2,55,8,12,136,26,30,7
132,MC_SC_17_s03L_80,5,4,3,False,False,True,False,False,0,22,5,2,14,0,2,12,24,0,29,14,37
133,MC_SC_17_s03L_81,5,6,6,False,False,False,True,False,2,49,77,7,12,5,75,32,63,60,17,55,64
135,MC_SC_17_s03L_82,5,4,2,False,False,False,True,False,4,29,12,2,2,2,63,46,40,9,14,48,38
137,MC_SC_17_s03L_83,5,3,2,False,False,False,True,False,1,75,17,50,7,20,56,13,28,6,13,60,52
138,MC_SC_17_s03L_84,5,3,3,False,False,False,True,False,2,55,10,29,5,29,36,13,13,0,1,31,28
140,MC_SC_17_s03L_85,5,3,2,False,False,True,False,False,51,24,34,1,10,0,6,2,18,3,15,14,16
141,MC_SC_17_s03L_86,5,4,3,False,False,True,False,False,0,23,47,2,3,0,14,12,28,0,0,40,5
142,MC_SC_17_s03L_87,5,4,3,False,False,True,False,False,80,32,43,43,3,6,3,9,4,44,15,10,46
143,MC_SC_17_s03L_88,5,4,2,False,False,True,False,False,25,16,16,14,17,2,2,6,0,0,2,14,14
146,MC_SC_17_s03L_89,5,5,3,False,False,True,False,False,145,59,33,51,47,12,1,8,6,39,43,17,53
147,MC_SC_17_s03L_90,5,2,2,False,True,False,True,False,0,8,0,0,0,1,11,1,0,0,0,15,0
148,MC_SC_17_s03L_91,5,7,5,False,False,False,False,True,35,23,45,1,32,12,10,6,34,58,11,5,13
149,MC_SC_17_s03L_92,5,4,3,False,False,False,False,True,0,22,6,0,0,1,33,0,8,21,3,9,6
150,MC_SC_17_s03L_93,5,5,4,False,False,False,True,False,2,14,3,2,1,27,55,25,0,4,6,83,2
155,MC_SC_17_s03L_94,5,5,3,False,False,False,False,True,49,31,6,9,37,16,4,10,54,43,16,48,77
158,MC_SC_17_s03L_95,6,3,2,False,False,False,True,False,0,14,33,0,0,3,25,7,11,0,14,47,33
160,MC_SC_17_s03L_96,6,3,2,False,False,False,False,True,218,32,3,2,45,30,110,6,42,10,9,232,73
161,MC_SC_17_s03L_97,6,3,2,False,False,False,True,False,0,2,1,0,0,0,10,5,0,2,7,27,0
163,MC_SC_17_s03L_98,6,1,1,False,False,False,True,False,3,19,41,3,0,1,25,3,2,0,0,17,7
166,MC_SC_17_s03L_99,6,5,2,False,False,True,False,False,14,40,75,9,1,4,4,5,22,15,29,17,45
168,MC_SC_17_s03L_100,6,4,2,False,False,True,False,False,0,25,38,6,61,7,3,26,48,57,21,8,7
170,MC_SC_17_s03L_101,6,4,4,False,False,True,False,False,97,6,37,14,117,19,50,6,44,19,36,10,50
171,MC_SC_17_s03L_102,6,5,3,False,False,True,False,False,1,19,33,23,100,10,16,28,44,80,22,31,17
172,MC_SC_17_s03L_103,6,5,4,False,False,True,False,False,2,4,12,0,31,27,7,10,46,43,9,11,16
