Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3,Area
53,MC_SC_17_s03L_53,3,4,3,0,0,12,25,0,7,5,0,0,0,0,48,0,1,0,1,2123.0
54,MC_SC_17_s03L_54,3,1,1,0,0,0,0,1,4,0,8,2,1,6,25,0,1,0,3,9340.0
55,MC_SC_17_s03L_55,3,9,6,1,0,1,41,0,13,5,0,1,1,0,24,1,2,0,1,2745.0
56,MC_SC_17_s03L_56,3,10,4,1,0,0,11,0,3,2,0,0,0,0,1,0,0,3,2,1084.0
57,MC_SC_17_s03L_57,3,6,5,106,2,22,26,0,35,20,0,0,0,2,72,9,6,0,0,3284.0
58,MC_SC_17_s03L_58,3,3,2,26,7,0,4,0,10,3,3,0,2,1,2,0,1,0,0,1050.0
59,MC_SC_17_s03L_59,3,4,2,46,0,35,34,0,0,0,0,0,1,1,3,0,0,0,0,4997.0
60,MC_SC_17_s03L_60,3,10,5,0,0,0,19,2,9,29,0,0,0,0,25,6,0,0,0,2421.0
61,MC_SC_17_s03L_61,3,9,5,0,11,3,40,0,15,103,0,0,1,6,126,4,9,0,1,3608.0
62,MC_SC_17_s03L_62,3,7,4,1,2,1,32,0,22,2,0,0,2,0,9,1,0,1,2,2357.0
63,MC_SC_17_s03L_63,3,3,3,1,0,0,21,0,1,16,0,1,0,4,9,0,0,0,0,2514.0
64,MC_SC_17_s03L_64,3,8,5,0,1,6,25,0,11,5,0,0,1,5,18,0,1,1,0,2995.0
65,MC_SC_17_s03L_65,3,5,3,53,2,34,18,0,44,11,0,7,0,3,19,3,0,1,3,2887.0
66,MC_SC_17_s03L_66,3,4,2,59,2,15,17,0,16,11,1,0,1,21,41,1,8,3,2,3493.0
67,MC_SC_17_s03L_67,3,7,5,65,3,3,21,0,14,2,0,8,0,2,9,0,0,2,0,2495.0
