Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3
58,MC_SC_17_s03L_58,3,3,2,49,24,0,18,3,10,24,4,0,10,1,0,12,1,0,9
59,MC_SC_17_s03L_59,3,4,2,117,11,76,111,1,0,0,0,0,5,1,4,0,0,0,1
60,MC_SC_17_s03L_60,3,10,5,0,27,0,67,27,15,128,3,0,18,10,28,87,9,3,0
61,MC_SC_17_s03L_61,3,9,5,2,103,14,112,1,32,359,2,3,20,48,230,74,81,3,51
62,MC_SC_17_s03L_62,3,7,4,1,28,11,115,0,77,7,10,1,32,0,23,30,0,5,20
63,MC_SC_17_s03L_63,3,3,3,3,3,0,76,13,0,58,1,2,1,23,0,1,0,0,2
64,MC_SC_17_s03L_64,3,8,5,0,14,48,90,0,16,15,6,0,16,47,25,2,12,5,30
65,MC_SC_17_s03L_65,3,5,3,118,24,78,72,3,51,24,3,13,2,41,12,110,12,6,28
66,MC_SC_17_s03L_66,3,4,2,132,10,32,53,0,9,44,3,0,5,34,23,52,28,15,14
67,MC_SC_17_s03L_67,3,7,5,124,32,25,66,2,23,8,9,22,6,25,9,10,3,13,2
68,MC_SC_17_s03L_68,3,3,2,90,148,7,90,0,0,3,0,1,0,0,0,0,0,0,4
69,MC_SC_17_s03L_69,3,7,3,79,12,8,25,0,6,11,2,7,9,27,7,32,18,2,8
70,MC_SC_17_s03L_70,3,4,3,154,5,54,105,0,5,9,12,2,4,37,0,40,8,0,52
71,MC_SC_17_s03L_71,3,6,4,59,30,86,123,0,38,46,7,0,10,37,34,37,29,17,11
72,MC_SC_17_s03L_72,3,9,4,4,88,17,37,2,15,173,3,0,10,5,38,36,62,0,6
73,MC_SC_17_s03L_73,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,MC_SC_17_s03L_74,3,4,3,114,12,23,52,0,0,0,0,0,2,0,0,0,0,0,0
75,MC_SC_17_s03L_75,3,8,5,4,136,13,94,4,50,352,17,0,24,16,62,82,80,35,11
76,MC_SC_17_s03L_76,3,1,1,0,0,0,0,1,0,7,0,0,2,5,0,15,2,0,0
77,MC_SC_17_s03L_77,3,7,5,0,11,0,70,1,3,2,9,1,9,1,9,8,0,106,9
78,MC_SC_17_s03L_78,3,5,4,3,3,0,24,9,30,18,10,3,3,1,2,6,0,15,0
79,MC_SC_17_s03L_79,3,5,4,0,41,0,49,1,36,9,25,2,29,25,3,41,47,13,18
80,MC_SC_17_s03L_80,3,8,6,1,18,0,74,4,9,32,49,36,5,8,10,6,0,45,32
81,MC_SC_17_s03L_81,3,7,5,2,5,0,44,0,9,57,16,6,20,26,27,19,4,9,1
82,MC_SC_17_s03L_82,3,4,4,0,8,0,8,1,17,70,9,8,13,28,56,37,7,8,1
83,MC_SC_17_s03L_83,3,4,3,4,17,2,43,32,27,163,1,14,11,31,77,68,26,4,11
84,MC_SC_17_s03L_84,3,4,3,100,20,0,63,13,22,61,13,3,18,13,40,34,4,1,30
85,MC_SC_17_s03L_85,3,6,5,4,20,4,31,19,75,162,18,9,11,57,62,48,36,1,7
86,MC_SC_17_s03L_86,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,MC_SC_17_s03L_87,3,5,4,3,20,5,57,40,8,0,12,13,0,21,0,2,0,3,0
88,MC_SC_17_s03L_88,3,4,3,0,4,0,25,14,4,0,1,1,0,1,0,0,0,0,0
89,MC_SC_17_s03L_89,3,3,2,1,3,0,16,4,28,27,5,12,3,2,0,1,0,1,0
90,MC_SC_17_s03L_90,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,MC_SC_17_s03L_91,3,1,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,MC_SC_17_s03L_92,3,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0
93,MC_SC_17_s03L_93,3,4,3,66,2,5,41,13,31,3,8,12,2,11,29,11,0,0,0
94,MC_SC_17_s03L_94,3,2,2,1,5,9,13,0,0,0,0,0,0,0,0,4,0,0,0
95,MC_SC_17_s03L_95,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,MC_SC_17_s03L_96,3,5,3,3,6,14,30,0,0,0,0,0,0,0,0,0,0,2,0
97,MC_SC_17_s03L_97,3,4,2,1,10,8,34,0,2,12,7,0,0,0,0,0,0,0,1
98,MC_SC_17_s03L_98,3,2,2,1,4,5,27,0,0,0,0,0,0,0,0,0,0,0,0
99,MC_SC_17_s03L_99,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,MC_SC_17_s03L_100,3,4,3,2,12,0,6,12,0,25,1,7,1,10,0,7,0,0,3
101,MC_SC_17_s03L_101,3,5,3,2,2,3,16,1,41,41,7,17,0,17,0,12,3,0,4
102,MC_SC_17_s03L_102,3,3,2,5,28,2,43,0,0,0,0,0,0,1,0,0,0,0,0
103,MC_SC_17_s03L_103,3,7,3,0,11,0,4,9,9,41,0,32,4,24,0,29,2,0,0
104,MC_SC_17_s03L_104,3,6,4,4,19,0,65,1,16,152,11,6,10,50,60,57,10,7,32
105,MC_SC_17_s03L_105,3,5,3,0,4,0,21,50,41,66,31,125,19,49,0,35,2,3,4
106,MC_SC_17_s03L_106,3,3,2,0,3,13,14,0,0,0,0,0,0,0,0,0,0,0,0
107,MC_SC_17_s03L_107,3,4,3,28,2,0,20,1,0,0,2,15,2,11,0,14,0,0,7
108,MC_SC_17_s03L_108,3,6,3,0,15,4,39,34,2,38,1,33,5,27,0,11,31,4,6
109,MC_SC_17_s03L_109,3,5,4,6,8,0,14,20,23,20,3,39,5,14,0,20,6,0,4
110,MC_SC_17_s03L_110,3,5,3,135,93,13,64,2,0,0,1,0,22,59,76,16,7,5,7
111,MC_SC_17_s03L_111,3,3,3,5,24,0,21,22,8,9,12,2,9,0,9,7,3,6,6
112,MC_SC_17_s03L_112,3,5,4,8,4,0,18,19,39,6,2,65,4,39,6,20,2,3,0
113,MC_SC_17_s03L_113,3,8,4,8,5,0,38,25,253,142,22,40,12,21,3,18,12,3,2
114,MC_SC_17_s03L_114,3,10,4,0,3,0,84,11,32,14,6,1,8,46,8,4,7,5,3
115,MC_SC_17_s03L_115,3,17,6,0,27,0,30,2,10,31,4,1,17,33,20,32,0,9,39
116,MC_SC_17_s03L_116,3,5,4,5,19,35,2,56,59,17,1,16,16,4,9,18,2,16,10
117,MC_SC_17_s03L_117,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,MC_SC_17_s03L_118,3,4,3,3,8,0,24,1,0,4,2,0,11,0,0,0,0,0,0
119,MC_SC_17_s03L_119,3,3,3,30,12,14,13,4,15,8,3,0,1,3,20,7,2,1,11
120,MC_SC_17_s03L_120,3,3,3,0,3,0,6,0,0,3,0,0,0,0,0,0,0,0,0
121,MC_SC_17_s03L_121,3,7,5,100,36,45,34,19,31,12,16,19,7,4,56,20,8,5,10
122,MC_SC_17_s03L_122,3,5,3,0,15,15,38,9,24,6,6,20,11,7,11,56,0,4,30
123,MC_SC_17_s03L_123,3,4,3,1,6,0,23,28,27,24,6,17,13,13,16,2,0,19,3
124,MC_SC_17_s03L_124,3,6,3,3,14,15,24,22,17,4,19,6,9,3,2,2,0,8,1
125,MC_SC_17_s03L_125,3,5,4,0,1,4,2,27,7,4,0,12,11,17,0,31,2,3,5
126,MC_SC_17_s03L_126,3,3,2,3,2,0,4,0,0,2,0,0,5,0,0,0,0,0,0
127,MC_SC_17_s03L_127,3,3,2,0,0,0,0,23,6,2,0,1,5,3,0,3,0,0,0
128,MC_SC_17_s03L_128,3,5,4,0,15,20,6,21,27,6,3,22,6,18,13,9,7,0,2
129,MC_SC_17_s03L_129,3,4,3,38,11,8,0,5,25,0,0,4,3,0,1,0,0,0,0
130,MC_SC_17_s03L_130,3,3,3,2,24,0,4,0,0,1,1,3,2,1,0,0,0,4,0
131,MC_SC_17_s03L_131,3,6,4,78,26,23,49,11,62,0,8,23,14,38,12,51,6,4,12
132,MC_SC_17_s03L_132,3,4,3,2,10,0,15,26,37,0,3,21,7,3,3,4,0,2,24
133,MC_SC_17_s03L_133,3,6,3,1,2,0,1,25,6,0,6,6,10,4,2,9,4,1,4
134,MC_SC_17_s03L_134,3,8,5,4,3,6,5,17,75,5,3,27,8,7,21,30,5,6,16
135,MC_SC_17_s03L_135,3,7,5,7,61,15,36,5,8,13,11,15,23,53,37,18,17,11,4
136,MC_SC_17_s03L_136,3,7,5,1,101,5,13,9,4,364,146,60,42,152,221,114,84,12,41
137,MC_SC_17_s03L_137,3,2,2,1,2,0,0,13,15,0,6,4,6,4,3,6,0,5,3
138,MC_SC_17_s03L_138,3,4,3,0,43,28,41,14,47,19,10,12,15,27,26,57,32,1,19
139,MC_SC_17_s03L_139,3,7,5,77,49,28,31,67,88,11,22,49,26,1,33,37,15,25,62
140,MC_SC_17_s03L_140,3,18,9,133,56,44,7,54,22,20,2,1,25,3,71,39,25,5,30
141,MC_SC_17_s03L_141,3,3,3,0,7,8,3,22,7,0,0,10,4,13,0,4,0,19,0
142,MC_SC_17_s03L_142,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,MC_SC_17_s03L_143,3,3,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,0
144,MC_SC_17_s03L_144,3,5,3,1,11,8,36,34,12,1,5,0,5,3,0,14,11,12,43
145,MC_SC_17_s03L_145,3,10,8,0,2,16,29,67,99,24,34,28,16,14,50,36,20,18,37
146,MC_SC_17_s03L_146,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,MC_SC_17_s03L_147,3,5,3,0,1,0,12,16,2,16,7,3,6,0,0,10,1,0,1
148,MC_SC_17_s03L_148,3,6,4,0,18,4,44,0,105,187,23,1,5,30,35,24,28,6,1
149,MC_SC_17_s03L_149,3,6,4,1,18,0,60,1,166,104,12,1,11,74,85,47,16,2,5
150,MC_SC_17_s03L_150,3,6,3,4,11,0,31,1,76,50,8,25,10,34,36,39,24,0,1
151,MC_SC_17_s03L_151,3,4,3,0,8,0,15,33,58,3,14,35,16,22,33,30,9,10,19
152,MC_SC_17_s03L_152,3,4,3,1,12,0,29,69,70,3,61,59,40,9,77,29,0,10,17
153,MC_SC_17_s03L_153,3,3,1,0,0,0,0,11,118,154,10,151,123,13,25,0,0,0,0
154,MC_SC_17_s03L_154,3,6,5,1,32,0,116,8,9,112,41,76,27,103,167,69,10,13,64
155,MC_SC_17_s03L_155,3,7,4,12,4,0,86,1,2,0,5,55,7,12,39,14,7,0,6
