Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,rph3a,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,robo1,syt1,zfhx3,Area
1,MC_SC_17_s03L_1,2,10,6,False,False,False,False,True,True,33.43754597225127,39.373349424928705,103.79137537429793,55.08891480244438,35.917252358673245,71.70380919673397,4.289631307558871,46.908071377368515,45.86983969019811,50.278967107955204,31.007864587919478,47.279784395806324,4162.0
2,MC_SC_17_s03L_2,3,10,4,False,False,True,False,True,False,80.81478414702448,59.143245318316346,55.15374525646378,64.43124460661856,19.047387161183618,77.57832790651476,38.080044099507006,79.94947542565765,39.477115983570805,144.8257683957503,71.57447353675336,108.40585559115797,1913.0
3,MC_SC_17_s03L_3,3,6,4,False,False,True,False,True,False,10.160386513267596,15.0991433520257,59.720047492422005,40.18489837746499,13.225933282475115,75.09270164647636,12.13358266959003,53.02549215001101,31.58418175445575,33.9637131831318,51.48232106533752,63.8862251832205,1468.0
4,MC_SC_17_s03L_4,3,7,5,False,False,True,False,True,False,47.64988375590255,15.03160813967198,68.10789097598914,52.63910174508001,32.13475839033833,66.71463224837457,22.67183597570542,78.80811148268454,32.42962319316226,57.60846435756018,61.63545293964958,70.1252420370086,1554.0
5,MC_SC_17_s03L_5,3,7,5,False,False,False,True,True,False,78.34010054058251,25.829939897334683,147.67542517775817,71.85954176549916,38.64269164568581,16.210388412595854,19.085150416242605,75.58826581037606,26.58786664089804,55.20397159963184,66.66752585116069,61.951965550529614,3631.0
6,MC_SC_17_s03L_6,3,7,5,False,False,True,False,True,False,22.405993815547546,30.86080204198564,92.16168414813568,32.298499117950314,19.786567639373903,65.81686523202225,23.497900319757274,55.61484661574228,94.98611386832658,49.066200741712834,52.03312543053586,43.35205585645758,1479.0
7,MC_SC_17_s03L_7,3,6,4,False,False,False,True,True,False,56.28414716764427,20.14662355025622,51.213443474936966,106.15988313366398,3.514203389347133,81.57521618692972,24.132490605905296,101.18198843009452,17.929707533641068,26.549236424299757,45.66004613664167,69.6084727667034,1490.0
8,MC_SC_17_s03L_8,3,6,4,False,False,False,True,True,False,48.658611495116176,18.18998163429756,60.82828832129516,150.11665123513805,3.850313269014586,136.88600337270108,25.791594241645985,77.95345338171596,15.602453037035957,50.04134454633832,41.3992719044827,96.81246952106116,2065.0
9,MC_SC_17_s03L_9,3,6,3,False,False,False,True,True,False,90.65403166071006,44.019049867588926,90.0806606931482,116.03504572338514,8.198517786593236,74.27648998452622,16.200562214687015,53.96362430542255,26.880692025099066,31.59861549018254,37.71093782485746,76.94579758995097,1351.0
10,MC_SC_17_s03L_10,3,6,5,False,False,False,True,True,False,75.43640332777834,53.11259574867535,53.28306071665816,59.157022187315725,41.37910430011529,58.986974716410884,8.399569890936064,57.11421519771905,15.363575129576372,40.24839796225117,34.444064753755896,25.072931161245325,2289.0
11,MC_SC_17_s03L_11,3,7,4,False,True,False,False,True,True,103.80300909645617,106.84765292990542,109.83327213986124,152.45634769984574,92.01025141649748,152.41497893738193,20.42806290670044,84.06252458732533,79.06719617190242,121.82010933615231,103.39627599825003,102.87095672997168,2066.0
12,MC_SC_17_s03L_12,3,5,4,False,False,False,True,True,False,63.75824875242316,48.18521866723797,64.85778637264266,82.55378506834799,21.760292656629257,72.37055979956288,25.159413617972472,46.701767490888706,36.205073869411535,41.83945911271717,37.62297609179765,63.429060520284736,1746.0
14,MC_SC_17_s03L_13,4,4,3,False,False,True,False,True,False,79.16154691933455,46.38852086289355,104.21785068218392,93.1375006325164,60.52919256657421,69.1374563453459,51.37586498870049,98.55041404006701,65.68617072640905,119.44425946320473,97.83732842507752,98.95942787892477,1761.0
16,MC_SC_17_s03L_14,4,7,5,False,False,False,True,True,False,83.8005517286063,68.0452914288089,112.05795200253732,102.50725815510151,43.097910199114,56.05099503163871,53.775920295803196,117.94764292375174,65.78925005168523,65.11618115782524,59.85904419450497,50.935009892796515,1993.0
17,MC_SC_17_s03L_15,4,4,3,False,False,True,False,True,False,36.970946093867354,39.08157120405049,88.40958363067071,117.70005434680316,53.625794554393686,171.58438515727917,58.9546681023965,104.79415798135537,81.88153554625488,116.50986221049155,83.05600867173919,105.629497004948,1925.0
